#Time       V(1)       V(0)      
 0.         0.         ??        
 800.E-9    1.         ??        
 1.6E-6     1.         ??        
 2.4E-6     1.         ??        
 3.2E-6     1.         ??        
 4.E-6      1.         ??        
 4.8E-6     1.         ??        
 5.6E-6     1.         ??        
 6.4E-6     1.         ??        
 7.2E-6     1.         ??        
 8.E-6      1.         ??        
 8.8E-6     915.17E-9  ??        
 9.6E-6     914.19E-9  ??        
 10.4E-6    914.11E-9  ??        
 11.2E-6   -914.07E-9  ??        
 12.E-6    -914.05E-9  ??        
 12.8E-6   -914.03E-9  ??        
 13.6E-6   -914.02E-9  ??        
 14.4E-6   -914.E-9    ??        
 15.2E-6   -913.98E-9  ??        
 16.E-6    -913.96E-9  ??        
 16.8E-6    1.         ??        
 17.6E-6    1.         ??        
 18.4E-6    1.         ??        
 19.2E-6    1.         ??        
 20.E-6     1.         ??        
 20.8E-6    1.         ??        
 21.6E-6    1.         ??        
 22.4E-6    1.         ??        
 23.2E-6    1.         ??        
 24.E-6     1.         ??        
 24.8E-6   -707.43E-9  ??        
 25.6E-6   -707.37E-9  ??        
 26.4E-6   -707.36E-9  ??        
 27.2E-6   -707.35E-9  ??        
 28.E-6    -707.33E-9  ??        
 28.8E-6   -707.32E-9  ??        
 29.6E-6   -707.3E-9   ??        
 30.4E-6   -707.29E-9  ??        
 31.2E-6   -707.27E-9  ??        
 32.E-6    -707.26E-9  ??        
 32.8E-6    1.         ??        
 33.6E-6    1.         ??        
 34.4E-6    1.         ??        
 35.2E-6    1.         ??        
 36.E-6     1.         ??        
 36.8E-6    1.         ??        
 37.6E-6    1.         ??        
 38.4E-6    1.         ??        
 39.2E-6    1.         ??        
 40.E-6     1.         ??        
 40.8E-6   -503.49E-9  ??        
 41.6E-6    503.47E-9  ??        
 42.4E-6    503.46E-9  ??        
 43.2E-6   -503.46E-9  ??        
 44.E-6     503.45E-9  ??        
 44.8E-6   -503.45E-9  ??        
 45.6E-6    503.45E-9  ??        
 46.4E-6   -503.45E-9  ??        
 47.2E-6    503.44E-9  ??        
 48.E-6    -503.44E-9  ??        
 48.8E-6    1.         ??        
 49.6E-6    1.         ??        
 50.4E-6    1.         ??        
 51.2E-6    1.         ??        
 52.E-6     1.         ??        
 52.8E-6    1.         ??        
 53.6E-6    1.         ??        
 54.4E-6    1.         ??        
 55.2E-6    1.         ??        
 56.E-6     1.         ??        
 56.8E-6   -499.81E-9  ??        
 57.6E-6    499.79E-9  ??        
 58.4E-6    499.78E-9  ??        
 59.2E-6   -499.78E-9  ??        
 60.E-6     499.77E-9  ??        
 60.8E-6   -499.77E-9  ??        
 61.6E-6    499.77E-9  ??        
 62.4E-6   -499.77E-9  ??        
 63.2E-6    499.76E-9  ??        
 64.E-6    -499.76E-9  ??        
 64.8E-6    1.         ??        
 65.6E-6    1.         ??        
 66.4E-6    1.         ??        
 67.2E-6    1.         ??        
 68.E-6     1.         ??        
 68.8E-6    1.         ??        
 69.6E-6    1.         ??        
 70.4E-6    1.         ??        
 71.2E-6    1.         ??        
 72.E-6     1.         ??        
 72.8E-6   -496.18E-9  ??        
 73.6E-6    496.16E-9  ??        
 74.4E-6    496.15E-9  ??        
 75.2E-6   -496.14E-9  ??        
 76.E-6     496.14E-9  ??        
 76.8E-6   -496.14E-9  ??        
 77.6E-6    496.14E-9  ??        
 78.4E-6   -496.13E-9  ??        
 79.2E-6    496.13E-9  ??        
 80.E-6    -404.65E-9  ??        
